run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.cv_rmse,metrics.cv_rmse_step,metrics.test_r2,metrics.test_rmse,metrics.validation_min_test_r2,metrics.test_mae,metrics.best_cv_rmse,metrics.r2,metrics.mae,metrics.rmse,params.max_depth,params.n_estimators,params.n_jobs,params.random_state,params.min_samples_leaf,params.best_n_estimators,params.model_type,params.n_trials,params.cv_folds,params.best_min_samples_leaf,params.validation_min_test_r2,params.feature_selection_k,params.best_max_depth,params.validation_passed,tags.mlflow.source.name,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.parentRunId,tags.mlflow.log-model.history
bdf5e149f033477588ef78db2b6ac3f0,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/bdf5e149f033477588ef78db2b6ac3f0/artifacts,2026-05-01 14:38:56.998000+00:00,2026-05-01 14:38:57.071000+00:00,64.73694138110078,64.73694138110078,,,,,,,,,16,400,-1,42,4,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_6,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
07c923938b004cc2a596aa2fef720836,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/07c923938b004cc2a596aa2fef720836/artifacts,2026-05-01 14:38:53.774000+00:00,2026-05-01 14:38:53.851000+00:00,64.73806833911871,64.73806833911871,,,,,,,,,16,100,-1,42,4,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_5,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
ceed4336a0b04f1c89e9e98232de0030,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/ceed4336a0b04f1c89e9e98232de0030/artifacts,2026-05-01 14:38:52.822000+00:00,2026-05-01 14:38:52.883000+00:00,80.62763232820167,80.62763232820167,,,,,,,,,4,200,-1,42,2,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_4,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
3a855c4283904869a3f4b872446eb196,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/3a855c4283904869a3f4b872446eb196/artifacts,2026-05-01 14:38:51.733000+00:00,2026-05-01 14:38:51.790000+00:00,67.22150773466078,67.22150773466078,,,,,,,,,8,100,-1,42,2,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_3,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
7a0e903ae8d446a1be512fe295e79dc6,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/7a0e903ae8d446a1be512fe295e79dc6/artifacts,2026-05-01 14:38:50.939000+00:00,2026-05-01 14:38:51.013000+00:00,64.67220557872973,64.67220557872973,,,,,,,,,16,100,-1,42,2,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_2,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
bc6838d7431444059c119e5a784a6e01,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/bc6838d7431444059c119e5a784a6e01/artifacts,2026-05-01 14:38:49.883000+00:00,2026-05-01 14:38:49.952000+00:00,64.39162362496543,64.39162362496543,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_1,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
7e77e32a3572411292c688ba883f7c50,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/7e77e32a3572411292c688ba883f7c50/artifacts,2026-05-01 14:38:47.169000+00:00,2026-05-01 14:38:47.250000+00:00,80.62764178907503,80.62764178907503,,,,,,,,,4,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_0,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,532ee835d6fe400e902a6cc6723ade87,
532ee835d6fe400e902a6cc6723ade87,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/532ee835d6fe400e902a6cc6723ade87/artifacts,2026-05-01 14:38:46.117000+00:00,2026-05-01 14:39:48.197000+00:00,,,0.7570725279289972,66.71144693740244,0.7,45.0629244170033,64.39162362496543,,,,,,,,,200,random_forest,20,3,1,0.7,12,None,True,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,parent_hpo,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,,
564ddbb416734f16b38823df19d4c771,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/564ddbb416734f16b38823df19d4c771/artifacts,2026-05-01 14:30:57.324000+00:00,2026-05-01 14:30:57.407000+00:00,65.0591974855531,65.0591974855531,,,,,,,,,None,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_19,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
6c23521de16b402098726ad4f9256a8a,964614978291141374,FINISHED,file:D:/Users/Badr/Downloads/MLOPs Final Project/mlops-final/mlruns/964614978291141374/6c23521de16b402098726ad4f9256a8a/artifacts,2026-05-01 14:30:54.977000+00:00,2026-05-01 14:30:55.044000+00:00,67.1992956015415,67.1992956015415,,,,,,,,,8,200,-1,42,1,,,,,,,,,,D:\Users\Badr\Downloads\MLOPs Final Project\mlops-final\src\training\train.py,LOCAL,hpo_trial_18,Badr,109231d5c6cb075aff1972bedb299bac2bf8c7cb,2eed63f9b3a14913b0e7a3b5a29e852b,
